participant,condition,investment,investment_return,multiplier,return,RT,delay,jitter_iti,jitter_feedback_before,jitter_feedback_after,block_total
653,fair,7,21,1.3,9.1,6.692388099999789,5.979694248395239,0.1,0.1,0.07014725360282356,9.1
653,fair,4,12,1.4000000000000001,5.6000000000000005,1.3302218999997422,6.5301393241208,0.1,0.1,-0.0381087751890378,14.7
653,fair,4,12,1.4000000000000001,5.6000000000000005,2.4169983000001594,9.055405950193641,0.1,0.1,-0.00995925082061691,20.3
653,fair,7,21,1.3,9.1,1.488125299999865,7.332854813327056,0.1,0.1,-0.016745675990021344,29.4
653,fair,3,9,1.4000000000000001,4.2,0.9652977999999166,5.107034417652231,0.1,0.1,-0.014366126323906742,33.6
653,unfair,6,18,0.19999999999999998,1.2,1.2499493999998776,6.35714039763069,0.1,0.1,0.03155633836791211,1.2
653,unfair,3,9,0.3,0.8999999999999999,1.0927925999999388,8.004294132852948,0.1,0.1,-0.08736739766152075,2.0999999999999996
653,unfair,7,21,0.19999999999999998,1.4,2.797516799999812,7.132423751375843,0.1,0.1,-0.05961899870719167,3.4999999999999996
653,unfair,4,12,0.3,1.2,1.1227583999998387,8.175670878808232,0.1,0.1,-0.044894899010699235,4.699999999999999
653,unfair,2,6,0.4,0.8,1.0851779999998143,6.656299497603024,0.1,0.1,-0.06102040896033567,5.499999999999999
653,fair,6,18,1.2,7.199999999999999,1.719495000000279,5.747760107800664,0.1,0.1,-0.02104999570376906,7.199999999999999
653,fair,10,30,1.0999999999999999,10.999999999999998,1.2540928000003078,8.843441726930852,0.1,0.1,0.04977846791226209,18.199999999999996
653,fair,5,15,1.2,6.0,1.537730499999725,5.844278904237285,0.1,0.1,-0.03330263360835302,24.199999999999996
653,fair,6,18,1.0999999999999999,6.6,2.5289098999996895,7.718258504705981,0.1,0.1,-0.010219886086047777,30.799999999999997
653,fair,7,21,0.9999999999999999,6.999999999999999,1.114936299999954,9.558221504568788,0.1,0.1,0.02288299308413795,37.8
653,unfair,8,24,0.19999999999999998,1.5999999999999999,10,1.905083100000411,9.714752525563807,0.1,0.1,0.01623955857681228,1.5999999999999999
653,unfair,7,21,0.3,2.1,10,0.8823437000000922,7.7692844276025035,0.1,0.1,0.035289007145157064,3.7
653,unfair,3,9,0.4,1.2000000000000002,10,3.593024499999956,6.347332876404452,0.1,0.1,-0.0766401491652362,4.9
653,unfair,6,18,0.30000000000000004,1.8000000000000003,10,1.139792899999975,5.055547763547374,0.1,0.1,0.086840370825956,6.700000000000001
653,unfair,9,27,0.20000000000000004,1.8000000000000003,10,1.1779183999997258,7.498726403470933,0.1,0.1,-0.06515571935030831,8.500000000000002
